Model,Class,precision,recall,f1-score,support
Random Forest,0,0.9975409836065574,1.0,0.9987689782519491,1217.0
Random Forest,1,1.0,0.9975328947368421,0.9987649238369699,1216.0
Random Forest,accuracy,0.998766954377312,0.998766954377312,0.998766954377312,0.998766954377312
Random Forest,macro avg,0.9987704918032787,0.998766447368421,0.9987669510444595,2433.0
Random Forest,weighted avg,0.998769986456712,0.998766954377312,0.9987669518776725,2433.0
Logistic Regression,0,0.9967239967239967,1.0,0.9983593109105825,1217.0
Logistic Regression,1,1.0,0.9967105263157895,0.9983525535420099,1216.0
Logistic Regression,accuracy,0.9983559391697493,0.9983559391697493,0.9983559391697493,0.9983559391697493
Logistic Regression,macro avg,0.9983619983619983,0.9983552631578947,0.9983559322262963,2433.0
Logistic Regression,weighted avg,0.998361325118415,0.9983559391697493,0.9983559336149869,2433.0
SVM,0,0.9967239967239967,1.0,0.9983593109105825,1217.0
SVM,1,1.0,0.9967105263157895,0.9983525535420099,1216.0
SVM,accuracy,0.9983559391697493,0.9983559391697493,0.9983559391697493,0.9983559391697493
SVM,macro avg,0.9983619983619983,0.9983552631578947,0.9983559322262963,2433.0
SVM,weighted avg,0.998361325118415,0.9983559391697493,0.9983559336149869,2433.0
KNN,0,0.8636741479634248,0.8537387017255547,0.8586776859504133,1217.0
KNN,1,0.8552845528455284,0.8651315789473685,0.8601798855273917,1216.0
KNN,accuracy,0.8594327990135635,0.8594327990135635,0.8594327990135635,0.8594327990135635
KNN,macro avg,0.8594793504044766,0.8594351403364615,0.8594287857389025,2433.0
KNN,weighted avg,0.8594810745300661,0.8594327990135635,0.859428477025467,2433.0
Decision Tree,0,0.9983443708609272,0.9909613804437141,0.9946391752577319,1217.0
Decision Tree,1,0.9910204081632653,0.9983552631578947,0.9946743138058173,1216.0
Decision Tree,accuracy,0.9946568023016852,0.9946568023016852,0.9946568023016852,0.9946568023016852
Decision Tree,macro avg,0.9946823895120962,0.9946583218008044,0.9946567445317747,2433.0
Decision Tree,weighted avg,0.9946838946421203,0.9946568023016852,0.9946567373105357,2433.0
